expert,model_type,file_name,path,exists,size_mb,accuracy,precision,recall,f1,auc,training_time,n_samples,source_timestamp
risk_guardian,random_forest,risk_guardian_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\risk_guardian_random_forest.pkl,True,2.549977,0.5348185305399823,0.526615969581749,0.08707953473750393,0.1494469921769625,0.5164979513736035,0.9294557571411133,33890,2026-03-22T09:47:27.071935
trend_master,logistic,trend_master_logistic.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_logistic.pkl,True,0.001951,0.5317319098457889,0.3235294117647059,0.002328042328042328,0.004622819920151292,0.5159577936576638,1.981053113937378,50580,2026-03-22T09:47:27.071935
market_microstructure_expert,random_forest,market_microstructure_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\market_microstructure_expert_random_forest.pkl,True,2.53776,0.524300441826215,0.48877805486284287,0.3076923076923077,0.37764932562620424,0.5151542533155372,0.3656325340270996,6786,2026-03-22T09:47:27.071935
correlation_expert,xgboost,correlation_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\correlation_expert_xgboost.pkl,True,0.177498,0.531288647044274,0.5014084507042254,0.18766473379019505,0.2731108553893364,0.5147240382003074,0.10631585121154785,20211,2026-03-22T09:47:27.071935
market_microstructure_expert,xgboost,market_microstructure_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\market_microstructure_expert_xgboost.pkl,True,0.181139,0.5287187039764359,0.49658314350797267,0.34222919937205654,0.4052044609665427,0.5143584372829468,0.08618569374084473,6786,2026-03-22T09:47:27.071935
exhaustion_detector,random_forest,exhaustion_detector_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\exhaustion_detector_random_forest.pkl,True,2.187365,0.5322426118358022,0.5042689434364994,0.1485148514851485,0.22945247055966977,0.5136416956393709,0.6281008720397949,67841,2026-03-22T09:47:27.071935
ml_expert,gradient_boosting,ml_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ml_expert_gradient_boosting.pkl,True,0.272025,0.5280148423005566,0.4897959183673469,0.13280632411067195,0.208955223880597,0.5135117056856187,1.382986307144165,13472,2026-03-22T09:47:27.071935
pattern_trigger,lightgbm,pattern_trigger_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pattern_trigger_lightgbm.pkl,True,0.225161,0.5328789832381654,0.5097236438075742,0.09781968179139658,0.16413974950560317,0.5132805414151875,0.14595508575439453,54288,2026-03-22T09:47:27.071935
exhaustion_detector,gradient_boosting,exhaustion_detector_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\exhaustion_detector_gradient_boosting.pkl,True,0.287463,0.5350431129781119,0.5391304347826087,0.058462989156058465,0.10548702679710761,0.5130340310903538,2.3431262969970703,67841,2026-03-22T09:47:27.071935
market_microstructure_expert,logistic,market_microstructure_expert_logistic.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\market_microstructure_expert_logistic.pkl,True,0.001352,0.5220913107511046,0.45,0.0847723704866562,0.142668428005284,0.5128822039858298,0.0525815486907959,6786,2026-03-22T09:47:27.071935
