Timeframe,Ativo,Linhas_Original,Linhas_Final,Linhas_Removidas,Status_Final,Nulos_Corrigidos,Erros_OHLC_Corrigidos
01,NZDUSD,13195,13195,0,✅ OK,0,0
01,SCI25,13195,13195,0,✅ OK,0,0
01,SGDJPY,13195,13195,0,✅ OK,0,0
01,SPA35,13195,13195,0,✅ OK,0,0
01,TRXUSD,13195,13195,0,✅ OK,0,0
01,UK100-F,13195,13195,0,✅ OK,0,0
01,UK100,13195,13195,0,✅ OK,0,0
01,US2000,13195,13195,0,✅ OK,0,0
01,US30-F,13195,13195,0,✅ OK,0,0
01,US30,13195,13195,0,✅ OK,0,0
01,US500-F,13195,13195,0,✅ OK,0,0
01,US500,13195,13195,0,✅ OK,0,0
01,USDCAD,13195,13195,0,✅ OK,0,0
01,USDCHF,13195,13195,0,✅ OK,0,0
01,USDCNH,13195,13195,0,✅ OK,0,0
01,USDCZK,13195,13195,0,✅ OK,0,0
01,USDDKK,13195,13195,0,✅ OK,0,0
01,USDHKD,13195,13195,0,✅ OK,0,0
01,USDHUF,13195,13195,0,✅ OK,0,0
01,USDILS,13195,13195,0,✅ OK,0,0
01,USDJPY,13195,13195,0,✅ OK,0,0
01,USDMXN,13195,13195,0,✅ OK,0,0
01,USDNOK,13195,13195,0,✅ OK,0,0
01,USDPLN,13195,13195,0,✅ OK,0,0
01,USDRON,13195,13195,0,✅ OK,0,0
01,USDSEK,13195,13195,0,✅ OK,0,0
01,USDSGD,13195,13195,0,✅ OK,0,0
01,USDTHB,13195,13195,0,✅ OK,0,0
01,USDTRY,13195,13195,0,✅ OK,0,0
01,USDX-F,13195,13195,0,✅ OK,0,0
01,USDX,13195,13195,0,✅ OK,0,0
01,USDZAR,13195,13195,0,✅ OK,0,0
01,XAGUSD-F,13195,13195,0,✅ OK,0,0
01,XAGUSD,13195,13195,0,✅ OK,0,0
01,XAUUSD-F,13195,13195,0,✅ OK,0,0
01,XAUUSD,13195,13195,0,✅ OK,0,0
01,XPDUSD,13195,13195,0,✅ OK,0,0
01,XPTUSD,13195,13195,0,✅ OK,0,0
01,ZARJPY,13195,13195,0,✅ OK,0,0
04,CA60,3002,3002,0,✅ OK,0,0
05,EURX,9219,9219,0,✅ OK,0,0
05,JPYX,9219,9219,0,✅ OK,0,0
06,ETHAUD,8843,8843,0,✅ OK,0,0
07,COMPUSD,9907,9907,0,✅ OK,0,0
09,KSMUSD,7949,7949,0,✅ OK,0,0
10,SWI20-F,5496,5496,0,✅ OK,0,0
10,SWI20,5496,5496,0,✅ OK,0,0
11,CHINAH,5519,5519,0,✅ OK,0,0
11,NETH25,5519,5519,0,✅ OK,0,0
01,AUDCAD,11453,11453,0,✅ OK,0,0
01,AUDJPY,11453,11453,0,✅ OK,0,0
01,GBPJPY,11453,11453,0,✅ OK,0,0
01,LINKUSD,11453,11453,0,✅ OK,0,0
01,NZDCAD,11453,11453,0,✅ OK,0,0
02,DOTUSD,11184,11184,0,✅ OK,0,0
03,XRPUSD,11124,11124,0,✅ OK,0,0
05,XLMUSD,10706,10706,0,✅ OK,0,0
06,BCHUSD,10606,10606,0,✅ OK,0,0
06,DOGEUSD,10606,10606,0,✅ OK,0,0
08,BNBUSD,10112,10112,0,✅ OK,0,0
09,ADAUSD,9942,9942,0,✅ OK,0,0
09,ATMUSD,9942,9942,0,✅ OK,0,0
09,SHBUSD,9942,9942,0,✅ OK,0,0
10,UNIUSD,9910,9910,0,✅ OK,0,0
10,XTZUSD,9910,9910,0,✅ OK,0,0
01,AUDCHF,210570,210570,0,✅ OK,0,0
01,AUDNZD,210570,210570,0,✅ OK,0,0
01,AUDPLN,210570,210570,0,✅ OK,0,0
01,AUDSGD,210570,210570,0,✅ OK,0,0
01,AUDUSD,210570,210570,0,✅ OK,0,0
01,AUS200,210570,210570,0,✅ OK,0,0
01,BTCAUD,210570,210570,0,✅ OK,0,0
01,CADCHF,210570,210570,0,✅ OK,0,0
01,CADJPY,210570,210570,0,✅ OK,0,0
01,CHFJPY,210570,210570,0,✅ OK,0,0
01,CHFPLN,210570,210570,0,✅ OK,0,0
01,CHFSGD,210570,210570,0,✅ OK,0,0
01,CN50,210570,210570,0,✅ OK,0,0
01,ETCUSD,210570,210570,0,✅ OK,0,0
01,EURAUD,210570,210570,0,✅ OK,0,0
01,EURCAD,210570,210570,0,✅ OK,0,0
01,EURCHF,210570,210570,0,✅ OK,0,0
01,EURCZK,210570,210570,0,✅ OK,0,0
01,EURDKK,210570,210570,0,✅ OK,0,0
01,EURGBP,210570,210570,0,✅ OK,0,0
01,EURHUF,210570,210570,0,✅ OK,0,0
01,EURJPY,210570,210570,0,✅ OK,0,0
01,EURMXN,210570,210570,0,✅ OK,0,0
01,EURNOK,210570,210570,0,✅ OK,0,0
01,EURNZD,210570,210570,0,✅ OK,0,0
01,EURPLN,210570,210570,0,✅ OK,0,0
01,EURSEK,210570,210570,0,✅ OK,0,0
01,EURSGD,210570,210570,0,✅ OK,0,0
01,EURTRY,210570,210570,0,✅ OK,0,0
01,EURUSD,210570,210570,0,✅ OK,0,0
01,EURZAR,210570,210570,0,✅ OK,0,0
01,EUSTX50-F,210570,210570,0,✅ OK,0,0
01,EUSTX50,210570,210570,0,✅ OK,0,0
01,FRA40-F,210570,210570,0,✅ OK,0,0
01,FRA40,210570,210570,0,✅ OK,0,0
01,GBPAUD,210570,210570,0,✅ OK,0,0
01,GBPCAD,210570,210570,0,✅ OK,0,0
01,GBPCHF,210570,210570,0,✅ OK,0,0
01,GBPNZD,210570,210570,0,✅ OK,0,0
01,GBPUSD,210570,210570,0,✅ OK,0,0
01,GER40-F,210570,210570,0,✅ OK,0,0
01,GER40,210570,210570,0,✅ OK,0,0
01,HK50-F,210570,210570,0,✅ OK,0,0
01,HK50,210570,210570,0,✅ OK,0,0
01,JPN225-F,210570,210570,0,✅ OK,0,0
01,JPN225,210570,210570,0,✅ OK,0,0
01,LTCUSD,210570,210570,0,✅ OK,0,0
01,MXNJPY,210570,210570,0,✅ OK,0,0
01,NAS100-F,210570,210570,0,✅ OK,0,0
01,NAS100,210570,210570,0,✅ OK,0,0
01,NZDCHF,210570,210570,0,✅ OK,0,0
01,NZDJPY,210570,210570,0,✅ OK,0,0
01,NZDSGD,210570,210570,0,✅ OK,0,0
01,NZDUSD,210570,210570,0,✅ OK,0,0
01,SCI25,210570,210570,0,✅ OK,0,0
01,SGDJPY,210570,210570,0,✅ OK,0,0
01,SPA35,210570,210570,0,✅ OK,0,0
01,TRXUSD,210570,210570,0,✅ OK,0,0
01,UK100-F,210570,210570,0,✅ OK,0,0
01,UK100,210570,210570,0,✅ OK,0,0
01,US2000,210570,210570,0,✅ OK,0,0
01,US30-F,210570,210570,0,✅ OK,0,0
01,US30,210570,210570,0,✅ OK,0,0
01,US500-F,210570,210570,0,✅ OK,0,0
01,US500,210570,210570,0,✅ OK,0,0
01,USDCAD,210570,210570,0,✅ OK,0,0
01,USDCHF,210570,210570,0,✅ OK,0,0
01,USDCNH,210570,210570,0,✅ OK,0,0
01,USDCZK,210570,210570,0,✅ OK,0,0
01,USDDKK,210570,210570,0,✅ OK,0,0
01,USDHKD,210570,210570,0,✅ OK,0,0
01,USDHUF,210570,210570,0,✅ OK,0,0
01,USDILS,210570,210570,0,✅ OK,0,0
01,USDJPY,210570,210570,0,✅ OK,0,0
01,USDMXN,210570,210570,0,✅ OK,0,0
01,USDNOK,210570,210570,0,✅ OK,0,0
01,USDPLN,210570,210570,0,✅ OK,0,0
01,USDRON,210570,210570,0,✅ OK,0,0
01,USDSEK,210570,210570,0,✅ OK,0,0
01,USDSGD,210570,210570,0,✅ OK,0,0
01,USDTHB,210570,210570,0,✅ OK,0,0
01,USDTRY,210570,210570,0,✅ OK,0,0
01,USDX-F,210570,210570,0,✅ OK,0,0
01,USDX,210570,210570,0,✅ OK,0,0
01,USDZAR,210570,210570,0,✅ OK,0,0
01,XAGUSD-F,210570,210570,0,✅ OK,0,0
01,XAGUSD,210570,210570,0,✅ OK,0,0
01,XAUUSD-F,210570,210570,0,✅ OK,0,0
01,XAUUSD,210570,210570,0,✅ OK,0,0
01,XPDUSD,210570,210570,0,✅ OK,0,0
01,XPTUSD,210570,210570,0,✅ OK,0,0
01,ZARJPY,210570,210570,0,✅ OK,0,0
04,CA60,40418,40418,0,✅ OK,0,0
05,EURX,142719,142719,0,✅ OK,0,0
05,JPYX,142719,142719,0,✅ OK,0,0
06,ETHAUD,103430,103430,0,✅ OK,0,0
07,COMPUSD,107743,107743,0,✅ OK,0,0
09,KSMUSD,100441,100441,0,✅ OK,0,0
10,SWI20-F,76345,76345,0,✅ OK,0,0
10,SWI20,76345,76345,0,✅ OK,0,0
11,CHINAH,76644,76644,0,✅ OK,0,0
11,NETH25,76644,76644,0,✅ OK,0,0
01,AUDCAD,178868,178868,0,✅ OK,0,0
01,AUDJPY,178868,178868,0,✅ OK,0,0
01,GBPJPY,178868,178868,0,✅ OK,0,0
01,LINKUSD,178868,178868,0,✅ OK,0,0
01,NZDCAD,178868,178868,0,✅ OK,0,0
02,DOTUSD,174572,174572,0,✅ OK,0,0
03,XRPUSD,173786,173786,0,✅ OK,0,0
05,XLMUSD,170996,170996,0,✅ OK,0,0
06,BCHUSD,169333,169333,0,✅ OK,0,0
06,DOGEUSD,169333,169333,0,✅ OK,0,0
08,BNBUSD,157872,157872,0,✅ OK,0,0
09,ADAUSD,158516,158516,0,✅ OK,0,0
09,ATMUSD,158516,158516,0,✅ OK,0,0
09,SHBUSD,158516,158516,0,✅ OK,0,0
10,UNIUSD,158457,158457,0,✅ OK,0,0
10,XTZUSD,158457,158457,0,✅ OK,0,0
11,MATICUSD,65564,65563,1,✅ OK,0,0
01,AUDCHF,105333,105333,0,✅ OK,0,0
01,AUDNZD,105333,105333,0,✅ OK,0,0
01,AUDPLN,105333,105333,0,✅ OK,0,0
01,AUDSGD,105333,105333,0,✅ OK,0,0
01,AUDUSD,105333,105333,0,✅ OK,0,0
01,AUS200,105333,105333,0,✅ OK,0,0
01,BTCAUD,105333,105333,0,✅ OK,0,0
01,CADCHF,105333,105333,0,✅ OK,0,0
01,CADJPY,105333,105333,0,✅ OK,0,0
01,CHFJPY,105333,105333,0,✅ OK,0,0
01,CHFPLN,105333,105333,0,✅ OK,0,0
01,CHFSGD,105333,105333,0,✅ OK,0,0
01,CN50,105333,105333,0,✅ OK,0,0
01,ETCUSD,105333,105333,0,✅ OK,0,0
01,EURAUD,105333,105333,0,✅ OK,0,0
01,EURCAD,105333,105333,0,✅ OK,0,0
01,EURCHF,105333,105333,0,✅ OK,0,0
01,EURCZK,105333,105333,0,✅ OK,0,0
01,EURDKK,105333,105333,0,✅ OK,0,0
01,EURGBP,105333,105333,0,✅ OK,0,0
01,EURHUF,105333,105333,0,✅ OK,0,0
01,EURJPY,105333,105333,0,✅ OK,0,0
01,EURMXN,105333,105333,0,✅ OK,0,0
01,EURNOK,105333,105333,0,✅ OK,0,0
01,EURNZD,105333,105333,0,✅ OK,0,0
01,EURPLN,105333,105333,0,✅ OK,0,0
01,EURSEK,105333,105333,0,✅ OK,0,0
01,EURSGD,105333,105333,0,✅ OK,0,0
01,EURTRY,105333,105333,0,✅ OK,0,0
01,EURUSD,105333,105333,0,✅ OK,0,0
01,EURZAR,105333,105333,0,✅ OK,0,0
