expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
fibonacci_expert,xgboost_GOLD_M5,GOLD,M5,xgboost,0.7654512988883129,0.0,0.0,0.0,0.5,17361,0.0,0.0,0.0,0.0,17361,3
fibonacci_expert,xgboost_GOLD_H4,GOLD,H4,xgboost,0.6060606060606061,0.6097560975609756,0.8771929824561403,0.7194244604316546,0.5576441102756893,99,-0.0314377756907312,-29976986.17203337,0.5121951219512195,-0.011981419150093653,99,3
fibonacci_expert,xgboost_GOLD_H1,GOLD,H1,xgboost,0.5315315315315315,0.5170068027210885,0.6972477064220184,0.59375,0.5344645611756109,222,-0.5626707065010416,-8.885588335517705,0.5136986301369864,-0.05426248377483067,222,3
fibonacci_expert,lightgbm_EURUSD_M5,EURUSD,M5,lightgbm,0.9250246629398224,0.0,0.0,0.0,0.5,18246,0.0,0.0,0.0,0.0,18246,3
fibonacci_expert,lightgbm_EURUSD_M15,EURUSD,M15,lightgbm,0.8118569328760411,0.0,0.0,0.0,0.5,6123,0.0,0.0,0.0,0.0,6123,3
fibonacci_expert,lightgbm_EURUSD_H1,EURUSD,H1,lightgbm,0.641781270464964,0.3211009174311927,0.0688976377952756,0.11345218800648298,0.49813871094866824,1527,0.07618973135782248,-6.0384759917709605,0.43119266055045874,0.0025265840452251,1527,3
fibonacci_expert,lightgbm_EURUSD_M30,EURUSD,M30,lightgbm,0.7428104575163399,0.2425531914893617,0.20917431192660552,0.2246305418719212,0.5338118080507779,3060,0.11807819678652044,-31707362.119937077,0.5203426124197003,0.0040930110806653985,3060,3
fibonacci_expert,lightgbm_EURUSD_H4,EURUSD,H4,lightgbm,0.5301204819277109,0.4097222222222222,0.6483516483516484,0.502127659574468,0.5551884824036722,249,-0.20200528965922718,-6.748520133009629,0.4788732394366197,-0.009347984463941805,249,3
fibonacci_expert,lightgbm_GOLD_H1,GOLD,H1,lightgbm,0.5630630630630631,0.536144578313253,0.8165137614678899,0.6472727272727272,0.5675489161321751,222,-0.2826430266322482,-25.913604548421866,0.509090909090909,-0.03241179496490487,222,3
fibonacci_expert,lightgbm_GOLD_M30,GOLD,M30,lightgbm,0.4289405684754522,0.4452296819787986,0.6631578947368421,0.53276955602537,0.43310179000801496,387,-0.31339270279595927,-47004751.634012185,0.5371024734982333,-0.04012350803162157,387,3
fibonacci_expert,lightgbm_GOLD_M15,GOLD,M15,lightgbm,0.5180555555555556,0.5142045454545454,0.5070028011204482,0.5105782792665726,0.5179642104775795,720,-0.10282481633245161,-22.387093286022125,0.5397727272727273,-0.014418821724349384,720,3
fibonacci_expert,lightgbm_GOLD_M5,GOLD,M5,lightgbm,0.751684810782789,0.18133333333333335,0.01669941060903733,0.030582415111310997,0.496798798539525,17361,-0.12849133554911862,-4.558921852359189,0.49866666666666665,-0.013629611157440102,17361,3
fibonacci_expert,lightgbm_GOLD_H4,GOLD,H4,lightgbm,0.6767676767676768,0.6404494382022472,1.0,0.7808219178082192,0.6190476190476191,99,-0.2898078893396573,-29976986.17203337,0.5,-0.04624948961780362,99,3
fibonacci_expert,random_forest_EURUSD_H1,EURUSD,H1,random_forest,0.6444007858546169,0.3157894736842105,0.05905511811023622,0.09950248756218906,0.4976335453161583,1527,-0.17039351459718186,-6.016676003274703,0.45161290322580644,-0.005424752719529025,1527,3
fibonacci_expert,random_forest_EURUSD_M30,EURUSD,M30,random_forest,0.7467320261437909,0.25840336134453784,0.22568807339449543,0.24094025465230168,0.5426651102558958,3060,0.23136740096213498,-9025318.70330514,0.5338983050847458,0.008311176596584868,3060,3
fibonacci_expert,random_forest_EURUSD_M15,EURUSD,M15,random_forest,0.7883390494855463,0.2,0.041666666666666664,0.06896551724137931,0.5015213236773285,6123,-0.06234654708549244,-1556083.855628332,0.46808510638297873,-0.0011844885032918917,6123,3
fibonacci_expert,random_forest_EURUSD_M5,EURUSD,M5,random_forest,0.9227227885563959,0.26136363636363635,0.016812865497076022,0.03159340659340659,0.5064808491485854,18246,-0.5573505421442569,-158.84314857474908,0.45454545454545453,-0.0052677403692767966,18246,3
fibonacci_expert,random_forest_EURUSD_H4,EURUSD,H4,random_forest,0.5582329317269076,0.43448275862068964,0.6923076923076923,0.5338983050847458,0.5866601752677703,249,0.025192742497469518,-5.686681132026202,0.4965034965034965,0.0010989614243348544,249,3
fibonacci_expert,random_forest_GOLD_M15,GOLD,M15,random_forest,0.55,0.5517241379310345,0.49299719887955185,0.5207100591715976,0.549528902470079,720,-0.18857527671472735,-151942381.79502937,0.5360501567398119,-0.024827780437679747,720,3
fibonacci_expert,random_forest_GOLD_M30,GOLD,M30,random_forest,0.4728682170542636,0.4748201438848921,0.6947368421052632,0.5641025641025641,0.4768100454181138,387,-0.11982712746975903,-458613367.23626465,0.5359712230215827,-0.016897574162039186,387,3
fibonacci_expert,random_forest_GOLD_H1,GOLD,H1,random_forest,0.545045045045045,0.5256410256410257,0.7522935779816514,0.6188679245283019,0.5487131606722416,222,-0.18270699109588687,-8.598380818771297,0.5290322580645161,-0.021006659448493892,222,3
fibonacci_expert,random_forest_GOLD_H4,GOLD,H4,random_forest,0.6060606060606061,0.6097560975609756,0.8771929824561403,0.7194244604316546,0.5576441102756893,99,-0.0314377756907312,-29976986.17203337,0.5121951219512195,-0.011981419150093653,99,3
fibonacci_expert,random_forest_GOLD_M5,GOLD,M5,random_forest,0.639479292667473,0.27486102532427426,0.32784872298624756,0.2990256467689551,0.5314087470751842,17361,0.2605851999334806,-12.572793764474888,0.5218556701030928,0.05641088497943314,17361,3
gap_expert,xgboost_EURUSD_M5,EURUSD,M5,xgboost,0.9250246629398224,0.0,0.0,0.0,0.5,18246,0.0,0.0,0.0,0.0,18246,3
