symbol,timeframe,tp100_entradas,tp100_wins,tp100_win_rate,tp100_score,tp100_target_efficiency,tp200_entradas,tp200_wins,tp200_win_rate,tp200_score,tp200_target_efficiency,tp300_entradas,tp300_wins,tp300_win_rate,tp300_score,tp300_target_efficiency,tp400_entradas,tp400_wins,tp400_win_rate,tp400_score,tp400_target_efficiency,tp500_entradas,tp500_wins,tp500_win_rate,tp500_score,tp500_target_efficiency,entradas_media_por_alvo,favor_media,contra_media,favor_apos_voltar_media,favor_contra_ratio,recovery_favor_ratio,stop_curto,stop_sugerido,stop_folgado,best_target,best_target_win_rate,best_target_score,best_target_entries,win_rate_decay_100_to_500,score_decay_100_to_500
CADCHF,M30,75757,73189,96.6102142376282,95.40321032393516,96.6102142376282,75757,69165,91.2984938685534,179.4986350116144,182.5969877371068,75757,64597,85.26868804202911,250.56067328620645,255.80606412608736,75757,58633,77.3961482107264,301.5360200165507,309.5845928429056,75757,53192,70.21397362619956,340.4639322616508,351.0698681309978,75757.0,998.7770292097948,35.60708547104458,972.2586721169912,28.04995174328276,0.9734491720191466,50,60,80,500,70.21397362619956,340.4639322616508,75757,26.39624061142864,-245.06072193771564
CADCHF,M5,71491,65628,91.79896770222824,90.07253873965747,91.79896770222824,71491,56841,79.50791008658432,154.7019562295115,159.01582017316863,71491,47485,66.42094809136815,192.1939966405596,199.26284427410445,71491,37927,53.05143304751647,202.3224196027001,212.20573219006587,71491,30361,42.46828272090193,200.23020377497943,212.34141360450968,71491.0,537.8707907978179,21.05136158334416,521.6825225388278,25.55040388446089,0.9699030537874196,50,50,50,400,53.05143304751647,202.3224196027001,71491,49.33068498132631,-110.15766503532198
CADJPY,H1,17736,17691,99.74627875507444,99.48089774967679,99.74627875507444,17736,17625,99.37415426251692,198.0937020450529,198.74830852503385,17736,17570,99.064050518719,296.2131905140233,297.192151556157,17736,17535,98.86671177266577,394.2814785998867,395.46684709066307,17736,17498,98.65809652683808,491.8869119834205,493.2904826341904,17736.0,3131.871995245433,104.59550026074128,3037.801623215408,29.942702959574664,0.969963532298317,140,160,210,500,98.65809652683808,491.8869119834205,17736,1.088182228236363,-392.4060142337437
CADJPY,H4,4740,4731,99.81012658227849,99.53702181618971,99.81012658227849,4740,4730,99.78902953586498,199.27460933163132,199.57805907172997,4740,4723,99.64135021097049,298.4081860747438,298.9240506329115,4740,4714,99.45147679324894,397.0169378487393,397.8059071729958,4740,4698,99.1139240506329,494.29513134475025,495.56962025316454,4740.0,6856.513038135086,143.83517680675632,6629.2841390209205,47.66923634612134,0.9668594082952495,180,220,290,500,99.1139240506329,494.29513134475025,4740,0.6962025316455822,-394.75810952856057
CADJPY,M15,147172,140994,95.802190634088,93.56283579905597,95.802190634088,147172,134373,91.30337292419752,177.96746088018932,182.60674584839504,147172,128099,87.04033375913896,254.20756411837414,261.12100127741684,147172,122233,83.05452124045335,323.17838437410484,332.2180849618134,147172,117310,79.70945560296796,387.7231255247578,398.5472780148398,147172.0,1464.9841375433507,53.34579633883674,1418.8045447508189,27.462035212873047,0.9684777523455378,70,90,110,500,79.70945560296796,387.7231255247578,147172,16.092735031120043,-294.16028972570183
CADJPY,M30,61135,59756,97.744336304899,95.85521691216745,97.744336304899,61135,58473,95.64570213462012,187.6446777837788,191.29140426924025,61135,57132,93.45219595976118,274.87279895317454,280.35658787928355,61135,56059,91.69706387503066,359.83454263753725,366.78825550012266,61135,55118,90.15784738693056,442.54642954809316,450.78923693465276,61135.0,2188.389751770494,83.7500464645704,2132.1104229252896,26.13001238954703,0.9742827671347636,110,130,170,500,90.15784738693056,442.54642954809316,61135,7.586488917968438,-346.6912126359257
CADJPY,M5,25015,23748,94.93503897661402,91.18977419073937,94.93503897661402,25015,22275,89.04657205676594,169.99367646294266,178.09314411353188,25015,21081,84.27343593843693,241.19136411552319,252.8203078153108,25015,19820,79.23246052368579,301.57336966962964,316.92984209474315,25015,18466,73.81970817509495,349.7396307865299,369.0985408754747,25015.0,1166.9585044828857,73.94459243776988,1139.8508159165708,15.781525950652718,0.9767706491163507,100,120,150,500,73.81970817509495,349.7396307865299,25015,21.11533080151908,-258.5498565957905
CHFJPY,H1,9045,8921,98.62907683803206,96.72863815856188,98.62907683803206,9045,8854,97.88833609729132,192.84938358346324,195.77667219458263,9045,8744,96.67219458264236,285.4034221146971,290.0165837479271,9045,8550,94.5273631840796,370.5230241368205,378.1094527363184,9045,8304,91.80762852404644,447.6814888985596,459.0381426202322,9045.0,3776.582608316509,138.6247407726433,3660.550505286784,27.243207722084705,0.9692758996519296,180,210,280,500,91.80762852404644,447.6814888985596,9045,6.821448313985627,-350.9528507399977
CHFJPY,H4,7163,7098,99.09255898366604,96.86744379946325,99.09255898366604,7163,7074,98.75750383917354,194.4683115030541,197.51500767834708,7163,7019,97.9896691330448,289.03952145259296,293.9690073991344,7163,6962,97.19391316487506,381.8949118591195,388.7756526595002,7163,6902,96.35627530364371,472.8466832401122,481.78137651821856,7163.0,10067.5550869006,245.2076932991403,9822.915647665315,41.05725620353055,0.9757002134952732,310,370,500,500,96.35627530364371,472.8466832401122,7163,2.736283680022325,-375.97923944064894
CHFJPY,M15,233188,228617,98.03977906238744,96.0949230452749,98.03977906238744,233188,221926,95.17042043329845,185.54911729085384,190.3408408665969,233188,215038,92.21658061306756,268.9273317078108,276.6497418392027,233188,208338,89.34336243717516,346.8003427643981,357.37344974870064,233188,202162,86.69485565294956,420.2734244500609,433.4742782647478,233188.0,1970.3237141910683,99.21616384126884,1929.902346440028,19.858898367844937,0.9794849102911928,130,150,200,500,86.69485565294956,420.2734244500609,233188,11.344923409437882,-324.17850140478606
CHFJPY,M30,1346,1346,100.0,100.0,100.0,1346,1346,100.0,200.0,200.0,1346,1346,100.0,300.0,300.0,1346,1346,100.0,400.0,400.0,1346,1346,100.0,500.0,500.0,1346.0,2871.20761242348,102.32513984664476,2787.501980704981,28.059650020498527,0.970846541588535,130,160,210,500,100.0,500.0,1346,0.0,-400.0
CHFJPY,M5,46988,45391,96.6012598961437,93.78323169838308,96.6012598961437,46988,43750,93.10887886268834,180.5040599768802,186.21775772537669,46988,42070,89.53349791436112,259.9223079718957,268.60049374308335,46988,40091,85.32178428534945,329.1168550625281,341.2871371413978,46988,38151,81.19307057120967,390.3717929414519,405.9653528560484,46988.0,1512.614365955157,82.91390667274631,1470.7266275507895,18.24319256728628,0.9723077214205292,110,130,170,500,81.19307057120967,390.3717929414519,46988,15.408189324934028,-296.5885612430688
EURAUD,H1,9613,9531,99.14698845313636,98.27757432821647,99.14698845313636,9613,9421,98.00270467075836,193.96970797585072,196.00540934151672,9613,9165,95.33964423176948,281.2689628420877,286.0189326953084,9613,9029,93.92489337355664,369.5076485069924,375.69957349422657,9613,8904,92.6245708935816,455.6056030707351,463.122854467908,9613.0,2835.187334550116,101.92290222993503,2728.724162942492,27.816980016191067,0.9624493343663022,130,160,210,500,92.6245708935816,455.6056030707351,9613,6.5224175595547536,-357.3280287425186
EURAUD,H4,3001,2964,98.7670776407864,96.07306187573812,98.7670776407864,3001,2925,97.46751082972342,189.40136765556397,194.93502165944685,3001,2877,95.86804398533822,278.57553858125834,287.60413195601467,3001,2848,94.90169943352215,368.4666784894296,379.6067977340886,3001,2824,94.10196601132957,457.6222411265521,470.50983005664784,3001.0,4094.115307936841,218.5065219164816,3986.2432957755286,18.73681056294957,0.9736519359986844,280,330,440,500,94.10196601132957,457.6222411265521,3001,4.665111629456831,-361.549179250814
EURAUD,M15,105539,103992,98.53419115208597,97.48834031798496,98.53419115208597,105539,101827,96.4828167786316,190.4561323961882,192.9656335572632,105539,98934,93.74165000615886,276.7596334320272,281.2249500184766,105539,94152,89.21062356095851,349.1443019698144,356.84249424383404,105539,89790,85.07755426903798,414.7406447865234,425.3877713451899,105539.0,1791.993524972555,71.34974219792414,1744.2492473815264,25.115627187221648,0.97335689168144,90,110,150,500,85.07755426903798,414.7406447865234,105539,13.456636883047992,-317.25230446853845
EURAUD,M30,56012,55670,99.38941655359564,98.8099876638693,99.38941655359564,56012,54793,97.82368063986289,193.58208696225097,195.64736127972577,56012,53456,95.43669213739912,281.979607867927,286.31007641219736,56012,52460,93.65850174962507,368.616078880641,374.6340069985003,56012,51447,91.84996072270228,451.51561390122873,459.24980361351135,56012.0,2588.511960377166,94.89757593962158,2517.0626039141125,27.27690285784355,0.9723975173544824,120,150,190,500,91.84996072270228,451.51561390122873,56012,7.53945583089336,-352.7056262373594
EURAUD,M5,4368,4195,96.0393772893773,91.24037078350554,96.0393772893773,4368,4025,92.1474358974359,174.78007854912602,184.2948717948718,4368,3854,88.23260073260073,250.4394822901831,264.69780219780216,4368,3697,84.6382783882784,319.9396258916109,338.5531135531136,4368,3491,79.92216117216118,375.2828942674559,399.6108058608059,4368.0,1768.6406645016586,121.1679792927627,1737.7668141158172,14.596601138438745,0.9825437405084638,160,190,250,500,79.92216117216118,375.2828942674559,4368,16.117216117216117,-284.0425234839504
EURCAD,D1,780,769,98.5897435897436,92.59911479792368,98.5897435897436,780,753,96.53846153846152,178.37265240609204,193.07692307692304,780,746,95.64102564102564,268.4065879301787,286.9230769230769,780,739,94.74358974358974,356.6456516593935,378.97435897435895,780,733,93.97435897435898,444.2754718522003,469.87179487179486,780.0,3439.8556624595863,424.7900416017813,3393.4493647039426,8.097778491888883,0.9865092311101656,540,640,850,500,93.97435897435898,444.2754718522003,780,4.615384615384627,-351.67635705427665
EURCAD,H1,43630,43483,99.66307586523034,99.36490570068322,99.66307586523034,43630,43216,99.05111162044464,197.26247869583824,198.1022232408893,43630,42419,97.22438688975475,289.21680645656664,291.6731606692643,43630,41662,95.48934219573688,377.9655396412556,381.9573687829475,43630,40612,93.08274123309648,459.2920901341682,465.4137061654824,43630.0,2892.348683927159,88.4977161849693,2803.732141788242,32.68274943784053,0.9693617361446322,120,140,180,500,93.08274123309648,459.2920901341682,43630,6.580334632133855,-359.927184433485
